Symbol,Entry Date,Exit Date,Shares,Entry Price,Exit Price,Exit Reason,PnL %,PnL,Cash
TSLA,2023-09-01,2023-10-19,20,245.01,223.52,STOP_LOSS,-8.77,-429.8,42896.45
MSFT,2023-09-14,2023-09-18,41,338.7,328.26,STOP_LOSS,-3.08,-428.04,42468.41
NVDA,2023-10-06,2023-10-17,162,45.76,43.14,STOP_LOSS,-5.73,-424.44,42043.97
GOOGL,2023-11-17,2023-12-04,87,135.31,130.51,STOP_LOSS,-3.55,-417.6,41626.37
META,2023-11-29,2023-12-04,30,332.2,318.36,STOP_LOSS,-4.17,-415.2,41211.17
GOOGL,2023-12-07,2023-12-14,64,136.93,130.55,STOP_LOSS,-4.66,-408.32,40802.85
TSLA,2023-12-13,2024-01-12,24,239.29,222.64,STOP_LOSS,-6.96,-399.6,40403.25
AAPL,2023-12-15,2023-12-27,68,197.57,191.7,STOP_LOSS,-2.97,-399.16,40004.09
AAPL,2024-01-18,2024-02-02,55,188.63,181.38,STOP_LOSS,-3.84,-398.75,39605.34
GOOGL,2024-01-26,2024-01-31,69,152.19,146.51,STOP_LOSS,-3.73,-391.92,39213.42
SPY,2024-03-05,2024-04-19,44,507.18,498.27,STOP_LOSS,-1.76,-392.04,38821.38
AMD,2024-03-05,2024-03-14,22,205.13,187.89,STOP_LOSS,-8.41,-379.28,38442.1
NVDA,2024-03-11,2024-04-19,43,85.77,76.87,STOP_LOSS,-10.39,-382.7,38059.4
META,2024-03-11,2024-04-25,13,483.59,455.4,STOP_LOSS,-5.83,-366.47,37692.93
QQQ,2024-03-12,2024-04-15,30,443.66,431.17,STOP_LOSS,-2.81,-374.7,37318.23
MSFT,2024-03-15,2024-04-19,23,416.42,400.78,STOP_LOSS,-3.76,-359.72,36958.51
AMZN,2024-04-08,2024-04-19,55,185.19,178.59,STOP_LOSS,-3.56,-363.0,36595.51
MSFT,2024-05-15,2024-05-31,23,423.08,407.69,STOP_LOSS,-3.64,-353.97,36241.54
NVDA,2024-06-06,2024-07-25,35,121.0,110.76,STOP_LOSS,-8.46,-358.4,35883.14
MSFT,2024-06-12,2024-07-25,24,441.06,426.16,STOP_LOSS,-3.38,-357.6,35525.54
QQQ,2024-06-17,2024-07-24,30,485.06,473.34,STOP_LOSS,-2.42,-351.6,35173.94
GOOGL,2024-06-28,2024-07-24,53,182.15,175.56,STOP_LOSS,-3.62,-349.27,34824.67
AMZN,2024-06-28,2024-07-18,40,193.25,184.64,STOP_LOSS,-4.45,-344.4,34480.27
TSLA,2024-07-03,2024-07-24,17,246.39,226.58,STOP_LOSS,-8.04,-336.77,34143.5
META,2024-07-08,2024-07-12,12,529.32,502.64,STOP_LOSS,-5.04,-320.16,33823.34
AMD,2024-07-08,2024-07-17,26,178.69,165.86,STOP_LOSS,-7.18,-333.58,33489.76
SPY,2024-07-17,2024-07-24,35,556.94,547.5,STOP_LOSS,-1.7,-330.4,33159.36
AMZN,2024-07-31,2024-08-02,31,186.98,176.49,STOP_LOSS,-5.61,-325.19,32834.17
SPY,2024-07-31,2024-08-02,21,550.81,535.64,STOP_LOSS,-2.75,-318.57,32515.6
NVDA,2024-08-22,2024-09-03,24,123.74,110.34,STOP_LOSS,-10.83,-321.6,32194.0
AAPL,2024-08-29,2024-09-03,43,229.79,222.31,STOP_LOSS,-3.26,-321.64,31872.36
QQQ,2024-08-29,2024-09-06,20,470.66,455.12,STOP_LOSS,-3.3,-310.8,31561.56
SPY,2024-08-30,2024-09-03,25,563.68,551.15,STOP_LOSS,-2.22,-313.25,31248.31
MSFT,2024-09-20,2024-10-02,18,435.27,418.18,STOP_LOSS,-3.93,-307.62,30940.69
AMD,2024-09-25,2024-10-23,29,162.02,151.44,STOP_LOSS,-6.53,-306.82,30633.87
TSLA,2024-09-30,2024-10-02,17,261.63,243.79,STOP_LOSS,-6.82,-303.28,30330.59
META,2024-10-04,2024-10-21,12,595.94,570.9,STOP_LOSS,-4.2,-300.48,30030.11
TSLA,2024-10-04,2024-10-11,14,250.08,229.12,STOP_LOSS,-8.38,-293.44,29736.67
NVDA,2024-10-23,2024-12-17,31,139.56,130.24,STOP_LOSS,-6.68,-288.92,29447.75
TSLA,2024-10-24,2024-11-04,13,260.48,239.36,STOP_LOSS,-8.11,-274.56,29173.19
META,2024-10-28,2024-11-06,13,578.16,556.16,STOP_LOSS,-3.81,-286.0,28887.19
AMD,2024-10-28,2024-10-30,28,159.92,149.92,STOP_LOSS,-6.25,-280.0,28607.19
MSFT,2024-10-29,2024-10-31,21,431.95,418.75,STOP_LOSS,-3.05,-277.2,28329.99
META,2024-11-07,2024-11-15,9,591.7,562.05,STOP_LOSS,-5.01,-266.85,28063.14
QQQ,2024-11-07,2024-11-15,18,513.54,498.72,STOP_LOSS,-2.89,-266.76,27796.38
AMZN,2024-11-07,2024-11-19,26,210.05,199.4,STOP_LOSS,-5.07,-276.9,27519.48
SPY,2024-11-12,2024-11-15,22,596.9,584.75,STOP_LOSS,-2.04,-267.3,27252.18
SPY,2024-11-19,2025-01-13,20,590.3,577.01,STOP_LOSS,-2.25,-265.8,26986.38
MSFT,2024-12-04,2024-12-31,16,437.42,421.48,STOP_LOSS,-3.64,-255.04,26731.34
TSLA,2024-12-11,2025-01-02,7,424.77,390.28,STOP_LOSS,-8.12,-241.43,26489.91
GOOGL,2024-12-12,2025-02-07,32,191.96,183.71,STOP_LOSS,-4.3,-264.0,26225.91
AAPL,2024-12-16,2025-01-02,39,251.04,244.4,STOP_LOSS,-2.64,-258.96,25966.95
QQQ,2024-12-17,2024-12-18,22,535.8,524.14,STOP_LOSS,-2.18,-256.52,25710.43
QQQ,2024-12-23,2025-01-02,16,522.87,506.96,STOP_LOSS,-3.04,-254.56,25455.87
NVDA,2025-01-02,2025-01-27,24,138.31,128.02,STOP_LOSS,-7.44,-246.96,25208.91
QQQ,2025-01-06,2025-01-10,12,524.54,505.0,STOP_LOSS,-3.73,-234.48,24974.43
QQQ,2025-01-15,2025-02-28,13,516.7,498.0,STOP_LOSS,-3.62,-243.1,24731.33
TSLA,2025-01-17,2025-02-03,4,426.5,376.68,STOP_LOSS,-11.68,-199.28,24532.05
MSFT,2025-01-22,2025-01-27,13,446.2,428.21,STOP_LOSS,-4.03,-233.87,24298.18
META,2025-01-27,2025-03-07,5,659.88,617.91,STOP_LOSS,-6.36,-209.85,24088.33
SPY,2025-01-27,2025-02-27,16,599.37,584.69,STOP_LOSS,-2.45,-234.88,23853.45
MSFT,2025-01-28,2025-01-30,11,447.2,427.15,STOP_LOSS,-4.48,-220.55,23632.9
AMZN,2025-01-31,2025-02-18,21,237.68,226.86,STOP_LOSS,-4.55,-227.22,23405.68
AAPL,2025-02-21,2025-02-28,22,245.55,235.24,STOP_LOSS,-4.2,-226.82,23178.86
AAPL,2025-03-07,2025-03-10,20,239.07,227.81,STOP_LOSS,-4.71,-225.2,22953.66
TSLA,2025-05-13,2025-06-05,6,334.07,301.15,STOP_LOSS,-9.85,-197.52,22756.14
META,2025-06-27,2025-07-16,7,733.63,704.91,STOP_LOSS,-3.91,-201.04,22555.1
AMD,2025-07-28,2025-08-06,18,173.66,161.54,STOP_LOSS,-6.98,-218.16,22336.94
GOOGL,2025-07-29,2025-08-01,28,195.75,187.89,STOP_LOSS,-4.01,-220.08,22116.86
AAPL,2025-07-29,2025-08-01,37,211.27,205.44,STOP_LOSS,-2.76,-215.71,21901.15
META,2025-07-31,2025-08-20,5,773.44,735.92,STOP_LOSS,-4.85,-187.6,21713.55
AMZN,2025-07-31,2025-08-01,31,234.11,227.21,STOP_LOSS,-2.95,-213.9,21499.65
NVDA,2025-08-01,2025-09-05,24,173.72,164.82,STOP_LOSS,-5.12,-213.6,21286.05
MSFT,2025-08-01,2025-08-20,11,524.11,504.94,STOP_LOSS,-3.66,-210.87,21075.18
AMD,2025-08-07,2025-09-02,13,172.4,156.63,STOP_LOSS,-9.15,-205.01,20870.17
AMZN,2025-08-14,2025-09-25,17,230.98,219.06,STOP_LOSS,-5.16,-202.64,20667.53
QQQ,2025-08-14,2025-08-20,14,579.89,565.91,STOP_LOSS,-2.41,-195.72,20471.81
AAPL,2025-09-03,2025-09-10,24,238.47,230.13,STOP_LOSS,-3.5,-200.16,20271.65
META,2025-09-08,2025-10-01,6,752.3,722.96,STOP_LOSS,-3.9,-176.04,20095.61
TSLA,2025-09-16,2025-11-14,6,421.62,391.98,STOP_LOSS,-7.03,-177.84,19917.77
QQQ,2025-09-22,2025-09-25,18,602.2,591.2,STOP_LOSS,-1.83,-198.0,19719.77
QQQ,2025-10-07,2025-10-10,16,604.51,592.49,STOP_LOSS,-1.99,-192.32,19527.45
SPY,2025-10-29,2025-11-06,10,687.39,669.28,STOP_LOSS,-2.63,-181.1,19346.35
QQQ,2025-10-29,2025-11-06,9,635.77,614.87,STOP_LOSS,-3.29,-188.1,19158.25
MSFT,2025-10-29,2025-10-30,10,541.55,523.82,STOP_LOSS,-3.27,-177.3,18980.95
NVDA,2025-10-29,2025-11-06,14,207.04,193.49,STOP_LOSS,-6.54,-189.7,18791.25
AAPL,2025-10-30,2026-01-07,18,271.4,261.15,STOP_LOSS,-3.78,-184.5,18606.75
AMZN,2025-10-31,2025-11-17,13,244.22,230.58,STOP_LOSS,-5.58,-177.32,18429.43
AMD,2025-11-05,2025-11-07,8,256.33,234.72,STOP_LOSS,-8.43,-172.88,18256.55
NVDA,2025-11-10,2025-11-14,11,199.05,182.79,STOP_LOSS,-8.17,-178.86,18077.69
